Semester CCYYS: 20149
Field of Study: all Fields of Study
This is a tab delimited text file. Please open in EXCEL.
The last field is a data check field. All the records should have a # sign in the last field. If not, data has been lost.
---
CCYYS	CSN	UNQ	FOS	CNBR	TPC	TITLE	CANC	INC	INST NAME	INST EID	ANCL	CLMT	SEATS TKN	12THDAY	TOT ANCL	TOT CLMT	TOT SEATS TKN	TOT 12THDAY	TYPE	MODE	PGM CODE	FLAGS	#XLISTGS	XLISTG INFO	SM-AS HM	M-SEC HM	#TL	DAYS1	FROM T1	TO T1	BLDG1	RM1	CAP1	GPC1	TL NOTES 1	DAYS2	FROM T2	TO T2	BLDG2	RM2	CAP2	GPC2	TL NOTES 2	DAYS3	FROM T3	TO T3	BLDG3	RM3	CAP3	GPC3	TL NOTES 3	STD1	STD2	STD3	STD4	STD5	STD6	STD7	STD8	STD9	STD10	STD11	STD12	STD13	STD14	STD15	STD16	STD17	STD18	SCH COMM	DEPT COMM	LUPD T	LUPD ID	DATA CHECK	
20149	100483	02650	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			CHARRIER, G	gkbc5	70	70	70	71	70	70	70	71	LECTURE	FACEFACE		QUANREAS	0				1	MW	11:00 am	12:30 pm	UTC	4.102	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100484	02660	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			CHARRIER, G	gkbc5	70	70	69	69	70	70	69	69	LECTURE	FACEFACE		QUANREAS	0				1	MW	12:30 pm	2:00 pm	UTC	4.102	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100485	02635	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			MALDONADO, J	jam598	70	70	25	25	70	70	25	25	LECTURE	FACEFACE		QUANREAS	0				1	TTH	8:00 am	9:30 am	UTC	1.102	74	X							0								0																							10/27/2014	NRNW0291	#	
20149	100486	02630	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			JOHNSTON-BLAIR, D	dj8795	71	70	51	52	71	70	51	52	LECTURE	FACEFACE		QUANREAS	0				1	MW	8:00 am	9:30 am	UTC	4.122	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100487	02685	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			JOHNSTON-BLAIR, D	dj8795	64	64	63	64	64	64	63	64	LECTURE	FACEFACE		QUANREAS	0				1	MW	3:30 pm	5:00 pm	GSB	2.120	69								0								0																							10/27/2014	NRNW0291	#	
20149	100488	02680	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			KAMAS, J	kamasjw	70	70	69	70	70	70	69	70	LECTURE	FACEFACE		QUANREAS	0				1	TTH	2:00 pm	3:30 pm	UTC	4.122	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	112578	02640	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			KAMAS, J	kamasjw	70	70	69	69	70	70	69	69	LECTURE	FACEFACE		QUANREAS	0				1	TTH	8:00 am	9:30 am	UTC	4.112	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	112580	02645	ACC	 311		FUNDAMENTALS OF FINANCIAL ACC			KAMAS, J	kamasjw	70	70	68	70	70	70	68	70	LECTURE	FACEFACE		QUANREAS	0				1	TTH	9:30 am	11:00 am	UTC	4.112	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100489	02700	ACC	 311H		FUNDMNTLS OF FINANCIAL ACC-HON			NEWMAN, D	newmandp	45	43	42	42	45	43	42	42	LECTURE	FACEFACE		QUANREAS	0				1	TTH	9:30 am	11:00 am	CBA	4.348	56	X							0								0																							10/27/2014	NRNW0291	#	
20149	100490	02705	ACC	 311H		FUNDMNTLS OF FINANCIAL ACC-HON			NEWMAN, D	newmandp	45	43	43	43	45	43	43	43	LECTURE	FACEFACE		QUANREAS	0				1	TTH	11:00 am	12:30 pm	CBA	4.348	56	X							0								0																							10/27/2014	NRNW0291	#	
20149	100491	02710	ACC	 311H		FUNDMNTLS OF FINANCIAL ACC-HON			NEWMAN, D	newmandp	45	42	42	42	45	42	42	42	LECTURE	FACEFACE		QUANREAS	0				1	TTH	12:30 pm	2:00 pm	CBA	4.348	56	X							0								0																							10/27/2014	NRNW0291	#	
20149	100492	02720	ACC	 312		FUNDAMENTALS OF MANAGERIAL ACC			LENDECKY, B	brl73	75	75	72	73	75	75	72	73	LECTURE	FACEFACE		QUANREAS	0				1	MW	11:00 am	12:30 pm	UTC	3.104	101	X							0								0																							10/27/2014	NRNW0291	#	
20149	100493	02730	ACC	 312		FUNDAMENTALS OF MANAGERIAL ACC			LENDECKY, B	brl73	75	75	73	74	75	75	73	74	LECTURE	FACEFACE		QUANREAS	0				1	MW	12:30 pm	2:00 pm	UTC	3.104	101	X							0								0																							10/27/2014	NRNW0291	#	
20149	100494	02715	ACC	 312		FUNDAMENTALS OF MANAGERIAL ACC			LENDECKY, B	brl73	75	75	66	66	75	75	66	66	LECTURE	FACEFACE		QUANREAS	0				1	TTH	9:30 am	11:00 am	UTC	4.110	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	112581	02725	ACC	 312		FUNDAMENTALS OF MANAGERIAL ACC			LENDECKY, B	brl73	75	75	75	75	75	75	75	75	LECTURE	FACEFACE		QUANREAS	0				1	TTH	11:00 am	12:30 pm	UTC	4.110	102	X							0								0																							10/27/2014	NRNW0291	#	
20149	100495	02760	ACC	 326		FINANCIAL ACC-INTERMEDIATE			ATIASE, F	atiasefj	59	58	55	54	59	58	55	54	LECTURE	FACEFACE			0				1	MW	3:30 pm	5:00 pm	UTC	3.104	101	X							0								0													A										10/27/2014	NRNW0291	#	
20149	100496	02740	ACC	 326		FINANCIAL ACC-INTERMEDIATE			WANG, M	xw253	59	59	38	38	59	59	38	38	LECTURE	FACEFACE			0				1	TTH	8:00 am	9:30 am	UTC	4.102	102	X							0								0													A										10/27/2014	NRNW0291	#	
20149	100497	02750	ACC	 326		FINANCIAL ACC-INTERMEDIATE			ATIASE, F	atiasefj	58	58	55	56	58	58	55	56	LECTURE	FACEFACE			0				1	TTH	9:30 am	11:00 am	UTC	4.102	102	X							0								0													A										10/27/2014	NRNW0291	#	
20149	100498	02755	ACC	 326		FINANCIAL ACC-INTERMEDIATE			ATIASE, F	atiasefj	58	58	56	56	58	58	56	56	LECTURE	FACEFACE			0				1	MW	2:00 pm	3:30 pm	UTC	3.134	103	X							0								0													A										10/27/2014	NRNW0291	#	
20149	100499	02735	ACC	 326		FINANCIAL ACC-INTERMEDIATE			FREEMAN, R	rnf46	58	58	57	58	58	58	57	58	LECTURE	FACEFACE			0				1	MW	8:00 am	9:30 am	GSB	2.122	68	X							0								0													A										10/27/2014	NRNW0291	#	
20149	112583	02745	ACC	 326		FINANCIAL ACC-INTERMEDIATE			FREEMAN, R	rnf46	58	58	56	56	58	58	56	56	LECTURE	FACEFACE			0				1	MW	9:30 am	11:00 am	GSB	2.122	68	X							0								0													A										10/27/2014	NRNW0291	#	
20149	100500	02765	ACC	 327		FINANCIAL STATEMENT ANALYSIS			BADOLATO, P	pgb345	50	50	50	50	50	50	50	50	LECTURE	FACEFACE		QUANREAS	0				1	TTH	11:00 am	12:30 pm	GSB	2.122	68	X							0								0																							10/27/2014	NRNW0291	#	
20149	100501	02770	ACC	 327		FINANCIAL STATEMENT ANALYSIS			WHITE, B	bw22468	50	45	38	38	50	45	38	38	LECTURE	FACEFACE		QUANREAS	0				1	TTH	12:30 pm	2:00 pm	CBA	5.328	45								0								0																							10/27/2014	NRNW0291	#	
20149	100502	02775	ACC	 329		MANAGERIAL ACC AND CONTROL			ATIASE, R	atiaser	65	55	52	55	65	55	52	55	LECTURE	FACEFACE			0				1	TTH	11:00 am	12:30 pm	GSB	5.142	0								0								0																							10/27/2014	NRNW0291	#	
20149	100503	02780	ACC	 329		MANAGERIAL ACC AND CONTROL			ATIASE, R	atiaser	65	55	56	56	65	55	56	56	LECTURE	FACEFACE			0				1	TTH	2:00 pm	3:30 pm	UTC	4.124	104	X							0								0																							10/27/2014	NRNW0291	#	
20149	114542	02785	ACC	 151		ACCOUNTING CAREERS EXPLORATION			FRANKLIN, J	jaf493	60	51	56	55	60	51	56	55	LECTURE	FACEFACE			0				1	M	4:00 pm	5:30 pm	UTC	3.122	102	X							0								0													A										10/27/2014	NRNW0291	#	
20149	114545	02790	ACC	 151		ACCOUNTING CAREERS EXPLORATION			FRANKLIN, J	jaf493	60	51	55	55	60	51	55	55	LECTURE	FACEFACE			0				1	M	4:00 pm	5:30 pm	UTC	3.124	104	X							0								0													A										10/27/2014	NRNW0291	#	
20149	114547	02795	ACC	 151		ACCOUNTING CAREERS EXPLORATION			FRANKLIN, J	jaf493	60	52	45	45	60	52	45	45	LECTURE	FACEFACE			0				1	M	5:30 pm	7:00 pm	UTC	3.122	102	X							0								0													A										10/27/2014	NRNW0291	#	
20149	114549	02800	ACC	 151		ACCOUNTING CAREERS EXPLORATION			FRANKLIN, J	jaf493	60	52	49	50	60	52	49	50	LECTURE	FACEFACE			0				1	M	5:30 pm	7:00 pm	UTC	3.124	104	X							0								0													A										10/27/2014	NRNW0291	#	
20149	114528	02805	ACC	 152		MPA DISTINGUISHED SPKR LYCEUM			LIMBERG, S	stl47	225	225	176	176	343	343	288	288	LECTURE	FACEFACE			1	02805 ACC  152; 02895 ACC  180C (RS);			1	T	5:00 pm	6:30 pm	UTC	2.102A	349	X							0								0																A							10/27/2014	NRNW0291	#	
20149	100509	02815	ACC	 353J		INTERNSHIP IN ACCOUNTING			CHEN, S	sc5593	20	50	12	12	20	50	12	12	SEMINAR	FACEFACE			0				0						0								0								0			A													A							10/27/2014	NRNW0291	#	
20149	100510	02820	ACC	 353J		INTERNSHIP IN ACCOUNTING			YU, Y	yy2442	20	50	9	9	20	50	9	9	SEMINAR	FACEFACE			0				0						0								0								0			A													A							10/27/2014	NRNW0291	#	
